,Success_Rate,Probability_of_not_occuring,Years_Of_Experience,Behaviour,Insurance,Rating
0,0.22743464072280273,0.5172214432468982,4.0,3.0,0.0,4
1,0.7206223533196933,0.439732452924502,1.0,3.0,0.0,3
2,0.9392472279741437,0.47294285360819177,1.0,1.0,1.0,3
3,0.20305886413025065,0.40386989956926134,3.0,3.0,0.0,3
4,0.007802192668341368,0.2080715231441006,1.0,2.0,0.0,2
5,0.9938568947371993,0.6318617917390855,4.0,1.0,1.0,5
6,0.08100117952771047,0.8973699968966956,3.0,2.0,1.0,4
7,0.7928158007439957,0.6871375927263786,3.0,3.0,1.0,5
8,0.4105248070188572,0.29825047558163864,3.0,3.0,0.0,4
9,0.8980922048629393,0.966234443049321,3.0,3.0,1.0,5
10,0.05704226300919635,0.7906346387949601,2.0,2.0,1.0,3
11,0.9000135296617238,0.2964364211466325,1.0,2.0,1.0,3
12,0.006213910631311936,0.190159197758491,1.0,2.0,1.0,2
13,0.33284632629401456,0.5912753459482583,1.0,3.0,0.0,3
14,0.34030944002387986,0.24923057650456548,3.0,2.0,0.0,3
15,0.08352100412205843,0.722833684735504,2.0,3.0,0.0,3
16,0.6812367143364089,0.786110587800108,4.0,2.0,0.0,4
17,0.3200668984508592,0.6109504617250838,1.0,3.0,0.0,2
18,0.3897323269338795,0.47692573278206474,4.0,3.0,0.0,4
19,0.47020064015466745,0.8344242683519056,3.0,2.0,1.0,4
20,0.7520445362788555,0.5545651637145245,2.0,2.0,0.0,3
21,0.9320530770455329,0.6686167837853497,3.0,2.0,1.0,4
22,0.9610012157225577,0.2616322201626182,2.0,2.0,1.0,4
23,0.2694824786680238,0.3949476486927027,3.0,3.0,0.0,3
24,0.11425337111015388,0.23174175259246477,4.0,2.0,1.0,4
25,0.715760524768484,0.9518344707053631,3.0,2.0,0.0,4
26,0.5994824241332362,0.7120727859606327,3.0,3.0,0.0,4
27,0.18298568160536288,0.5864169449755948,2.0,2.0,0.0,3
28,0.6677568650765138,0.2951471064882031,4.0,2.0,1.0,5
29,0.9016898385815317,0.6780141902213148,4.0,1.0,0.0,4
30,0.5127655800726387,0.6654726960356798,1.0,1.0,1.0,3
31,0.12806256199745347,0.6824431453811118,1.0,2.0,1.0,2
32,0.014142010126094506,0.696999919727016,3.0,3.0,1.0,4
33,0.0011159473509277928,0.55314126824341,3.0,3.0,1.0,4
34,0.52073697947393,0.4254433136032566,3.0,1.0,0.0,3
35,0.17843072129653392,0.3944720591504213,3.0,2.0,0.0,3
36,0.05450755465439994,0.738685076030768,4.0,2.0,0.0,4
